"熟語","読み","出題級","種類","ほかの読み","よく使う順位","出典","校正状態"
"小売","こうり","6級から","","","4845","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"補足","ほそく","5級から","","","4847","常用漢字表","校正不要"
"関数","かんすう","6級から","","","4849","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"当面","とうめん","6級から","","","4852","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"創設","そうせつ","5級から","","","4853","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"貧困","ひんこん","5級から","","","4856","常用漢字表","校正不要"
"軍隊","ぐんたい","6級から","","","4860","常用漢字表","校正不要"
"死者","ししゃ","6級から","","","4862","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"討論","とうろん","5級から","","","4871","常用漢字表","校正不要"
"歌詞","かし","5級から","","かし / うたことば","4877","常用漢字表","校正不要"
"手間","てま","6級から","","","4881","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"究極","きゅうきょく","6級から","","","4883","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"人民","じんみん","6級から","","","4886","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"本番","ほんばん","6級から","","","4892","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"体質","たいしつ","6級から","","","4895","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"正面","しょうめん","6級から","","しょうめん / まとも","4896","常用漢字表","校正不要"
"地帯","ちたい","6級から","","","4897","常用漢字表","校正不要"
"新幹線","しんかんせん","6級から","","","4899","国語辞典(JMdict)｜三字熟語","校正不要"
"南部","なんぶ","6級から","","","4902","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"天使","てんし","6級から","","","4904","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"役所","やくしょ","6級から","","やくしょ / やくどころ","4909","常用漢字表","校正不要"
"定価","ていか","6級から","","","4910","常用漢字表","校正不要"
"本屋","ほんおく","6級から","","ほんおく / ほんや","4911","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"行方","ゆくえ","6級から","熟字訓","ゆくえ / いきかた / ゆきかた / ゆきがた / いきがた","4917","常用漢字表（付表・熟字訓）","校正不要"
"土産","みやげ","6級から","熟字訓","みやげ / どさん / とさん","4918","常用漢字表（付表・熟字訓）","校正不要"
"批評","ひひょう","5級から","","","4925","常用漢字表","校正不要"
"論争","ろんそう","5級から","","","4929","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"徒歩","とほ","6級から","","とほ / かち","4930","常用漢字表","校正不要"
"図書","としょ","6級から","","としょ / ずしょ","4932","常用漢字表","校正不要"
"植民","しょくみん","6級から","","","4939","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"未満","みまん","6級から","","","4946","常用漢字表","校正不要"
"長男","ちょうなん","6級から","","","4947","常用漢字表","校正不要"
