"熟語","読み","出題級","種類","ほかの読み","よく使う順位","出典","校正状態"
"旅館","りょかん","6級から","","","8598","常用漢字表","校正不要"
"飲料","いんりょう","6級から","","いんりょう / のみりょう","8613","常用漢字表","校正不要"
"弱点","じゃくてん","6級から","","","8616","常用漢字表","校正不要"
"一族","いちぞく","6級から","","","8624","常用漢字表","校正不要"
"街道","かいどう","6級から","","","8636","常用漢字表","校正不要"
"毎朝","まいあさ","6級から","","まいあさ / まいちょう","8639","常用漢字表","校正不要"
"万全","ばんぜん","6級から","","","8641","常用漢字表","校正不要"
"頭脳","ずのう","5級から","","","8646","常用漢字表","校正不要"
"根性","こんじょう","6級から","","","8652","常用漢字表","校正不要"
"配給","はいきゅう","6級から","","","8654","常用漢字表","校正不要"
"調停","ちょうてい","6級から","","","8657","常用漢字表","校正不要"
"活字","かつじ","6級から","","","8659","常用漢字表","校正不要"
"河川","かせん","6級から","","","8671","常用漢字表","校正不要"
"並行","へいこう","5級から","","","8683","常用漢字表","校正不要"
"長所","ちょうしょ","6級から","","","8693","常用漢字表","校正不要"
"全集","ぜんしゅう","6級から","","","8695","常用漢字表","校正不要"
"貨物","かもつ","6級から","","かもつ / かぶつ","8704","常用漢字表","校正不要"
"庭園","ていえん","6級から","","","8710","常用漢字表","校正不要"
"風潮","ふうちょう","5級から","","","8726","常用漢字表","校正不要"
"教官","きょうかん","6級から","","","8743","常用漢字表","校正不要"
"効力","こうりょく","6級から","","","8748","常用漢字表","校正不要"
"乗車","じょうしゃ","6級から","","","8767","常用漢字表","校正不要"
"愛媛","えひめ","6級から","","","8773","常用漢字表（都道府県）","校正不要"
"何者","なにもの","6級から","","","8775","常用漢字表","校正不要"
"混合","こんごう","6級から","","","8776","常用漢字表","校正不要"
"人体","じんたい","6級から","","じんたい / じんてい / にんてい","8781","常用漢字表","校正不要"
"屋上","おくじょう","6級から","","","8804","常用漢字表","校正不要"
"態勢","たいせい","6級から","","","8810","常用漢字表","校正不要"
"頂点","ちょうてん","5級から","","","8818","常用漢字表","校正不要"
"文芸","ぶんげい","6級から","","","8827","常用漢字表","校正不要"
"外科","げか","6級から","","","8829","常用漢字表","校正不要"
"本店","ほんてん","6級から","","ほんてん / ほんだな","8835","常用漢字表","校正不要"
"新品","しんぴん","6級から","","","8836","国語辞典(JMdict)｜対義語・熟語の構成で使う語","校正不要"
"補佐","ほさ","5級から","","","8854","常用漢字表","校正不要"
"直径","ちょっけい","6級から","","","8869","常用漢字表","校正不要"
"栄光","えいこう","6級から","","","8874","常用漢字表","校正不要"
"音楽家","おんがくか","6級から","","おんがくか / おんがっか","8880","国語辞典(JMdict)｜三字熟語","校正不要"
"過度","かど","6級から","","","8912","常用漢字表","校正不要"
"団結","だんけつ","6級から","","","8917","常用漢字表","校正不要"
"志望","しぼう","6級から","","","8935","常用漢字表","校正不要"
"清潔","せいけつ","6級から","","","8936","常用漢字表","校正不要"
"着用","ちゃくよう","6級から","","","8954","常用漢字表","校正不要"
"精密","せいみつ","5級から","","","8968","常用漢字表","校正不要"
"今晩","こんばん","5級から","","","8972","常用漢字表","校正不要"
"方程式","ほうていしき","6級から","","","9027","国語辞典(JMdict)｜三字熟語","校正不要"
"達人","たつじん","6級から","","","9043","常用漢字表","校正不要"
"国外","こくがい","6級から","","","9065","国語辞典(JMdict)｜対義語・熟語の構成で使う語","校正不要"
"女神","めがみ","6級から","","めがみ / じょしん","9073","常用漢字表","校正不要"
"電流","でんりゅう","6級から","","","9076","常用漢字表","校正不要"
"見地","けんち","6級から","","","9079","常用漢字表","校正不要"
"労力","ろうりょく","6級から","","","9090","常用漢字表","校正不要"
"家屋","かおく","6級から","","","9129","常用漢字表","校正不要"
"非公開","ひこうかい","6級から","","","9132","国語辞典(JMdict)｜三字熟語","校正不要"
"歯医者","はいしゃ","6級から","","","9137","国語辞典(JMdict)｜三字熟語","校正不要"
"式典","しきてん","6級から","","","9138","常用漢字表","校正不要"
"目前","もくぜん","6級から","","","9157","常用漢字表","校正不要"
"栃木","とちぎ","6級から","","","9161","常用漢字表（都道府県）","校正不要"
"上空","じょうくう","6級から","","","9172","常用漢字表","校正不要"
"教職員","きょうしょくいん","6級から","","","9186","国語辞典(JMdict)｜三字熟語","校正不要"
"高層","こうそう","5級から","","","9220","常用漢字表","校正不要"
"屋外","おくがい","6級から","","おくがい / やど","9243","常用漢字表","校正不要"
"適度","てきど","6級から","","","9247","常用漢字表","校正不要"
"鉱山","こうざん","6級から","","","9248","常用漢字表","校正不要"
"本名","ほんみょう","6級から","","ほんみょう / ほんめい","9254","常用漢字表","校正不要"
"燃焼","ねんしょう","6級から","","","9272","常用漢字表","校正不要"
"神聖","しんせい","5級から","","","9280","常用漢字表","校正不要"
"採点","さいてん","6級から","","","9281","常用漢字表","校正不要"
"水泳","すいえい","6級から","","","9297","常用漢字表","校正不要"
"身内","みうち","6級から","","","9302","常用漢字表","校正不要"
"牧場","ぼくじょう","6級から","","ぼくじょう / まきば","9305","常用漢字表","校正不要"
"補欠","ほけつ","5級から","","","9318","常用漢字表","校正不要"
"土木","どぼく","6級から","","","9331","常用漢字表","校正不要"
"俳句","はいく","5級から","","","9338","常用漢字表","校正不要"
"自我","じが","5級から","","","9347","常用漢字表","校正不要"
"断片","だんぺん","5級から","","","9363","常用漢字表","校正不要"
"責務","せきむ","6級から","","","9371","常用漢字表","校正不要"
"落下","らっか","6級から","","","9380","常用漢字表","校正不要"
"幕府","ばくふ","5級から","","","9396","常用漢字表","校正不要"
"欠席","けっせき","6級から","","","9412","常用漢字表","校正不要"
"体育館","たいいくかん","6級から","","","9433","国語辞典(JMdict)｜三字熟語","校正不要"
"大人気","だいにんき","6級から","","だいにんき / おとなげ","9444","国語辞典(JMdict)｜三字熟語","校正不要"
"三角","さんかく","6級から","","","9446","常用漢字表","校正不要"
"快楽","かいらく","6級から","","","9457","常用漢字表","校正不要"
"朗読","ろうどく","5級から","","","9460","常用漢字表","校正不要"
"乱暴","らんぼう","5級から","","","9465","常用漢字表","校正不要"
"紅葉","もみじ","5級から","熟字訓","こうよう / もみじ","9491","常用漢字表（付表・熟字訓）","校正不要"
"切断","せつだん","6級から","","","9541","常用漢字表","校正不要"
"校舎","こうしゃ","6級から","","","9549","常用漢字表","校正不要"
"目玉","めだま","6級から","","","9560","常用漢字表","校正不要"
"規律","きりつ","5級から","","","9563","常用漢字表","校正不要"
"暗示","あんじ","6級から","","","9565","常用漢字表","校正不要"
"全日本","ぜんにほん","6級から","","ぜんにほん / ぜんにっぽん","9583","国語辞典(JMdict)｜三字熟語","校正不要"
"異論","いろん","5級から","","","9614","常用漢字表","校正不要"
"市街","しがい","6級から","","","9626","常用漢字表","校正不要"
"断定","だんてい","6級から","","","9638","常用漢字表","校正不要"
"野外","やがい","6級から","","","9646","常用漢字表","校正不要"
"追放","ついほう","6級から","","","9653","常用漢字表","校正不要"
"探求","たんきゅう","5級から","","","9659","常用漢字表","校正不要"
"家内","かない","6級から","","かない / やうち","9665","常用漢字表","校正不要"
"運動会","うんどうかい","6級から","","","9666","国語辞典(JMdict)｜三字熟語","校正不要"
"墓地","ぼち","6級から","","ぼち / はかち","9679","常用漢字表","校正不要"
"無関心","むかんしん","6級から","","","9686","国語辞典(JMdict)｜三字熟語","校正不要"
"団地","だんち","6級から","","","9697","常用漢字表","校正不要"
"有権者","ゆうけんしゃ","5級から","","","9700","国語辞典(JMdict)｜三字熟語","校正不要"
"鳥取","とりとり","6級から","","","9708","常用漢字表（都道府県）","校正不要"
"線路","せんろ","6級から","","","9716","常用漢字表","校正不要"
"納豆","なっとう","5級から","","","9723","常用漢字表","校正不要"
"名曲","めいきょく","6級から","","","9745","常用漢字表","校正不要"
"下降","かこう","5級から","","","9764","常用漢字表","校正不要"
"政治家","せいじか","6級から","","","9779","国語辞典(JMdict)｜三字熟語","校正不要"
"改修","かいしゅう","6級から","","","9792","常用漢字表","校正不要"
"考古学","こうこがく","6級から","","","9795","国語辞典(JMdict)｜三字熟語","校正不要"
"百貨店","ひゃっかてん","6級から","","","9806","常用漢字表","校正不要"
"閉店","へいてん","5級から","","","9812","常用漢字表","校正不要"
"不完全","ふかんぜん","6級から","","","9823","国語辞典(JMdict)｜対義語・熟語の構成で使う語","校正不要"
"若年","じゃくねん","5級から","","","9842","常用漢字表","校正不要"
"着陸","ちゃくりく","6級から","","","9885","常用漢字表","校正不要"
"強要","きょうよう","6級から","","","9902","常用漢字表","校正不要"
"大工","だいく","6級から","","","9903","常用漢字表","校正不要"
"内訳","うちわけ","5級から","","","9906","常用漢字表","校正不要"
"亡命","ぼうめい","5級から","","","9917","常用漢字表","校正不要"
"優良","ゆうりょう","5級から","","","9923","常用漢字表","校正不要"
"悲鳴","ひめい","6級から","","","9946","常用漢字表","校正不要"
"不適切","ふてきせつ","6級から","","","9950","国語辞典(JMdict)｜三字熟語","校正不要"
"薬局","やっきょく","6級から","","","9987","常用漢字表","校正不要"
"救急車","きゅうきゅうしゃ","6級から","","","9994","国語辞典(JMdict)｜三字熟語","校正不要"
"無言","むごん","6級から","","むごん / しじま","10000","常用漢字表","校正不要"
"歌声","うたごえ","6級から","","うたごえ / かせい","10003","常用漢字表","校正不要"
"失望","しつぼう","6級から","","","10004","常用漢字表","校正不要"
"試練","しれん","6級から","","","10009","常用漢字表","校正不要"
"類型","るいけい","6級から","","","10030","常用漢字表","校正不要"
"曜日","ようび","6級から","","","10048","常用漢字表","校正不要"
"先方","せんぽう","6級から","","せんぽう / さきかた / さきがた","10054","常用漢字表","校正不要"
"山梨","やまなし","6級から","","","10059","国語辞典(JMdict)｜要校正","校正不要"
"海水","かいすい","6級から","","","10065","常用漢字表","校正不要"
"頂上","ちょうじょう","5級から","","","10068","常用漢字表","校正不要"
"紀行","きこう","6級から","","","10094","常用漢字表","校正不要"
"紙面","しめん","6級から","","","10144","常用漢字表","校正不要"
"出世","しゅっせ","6級から","","","10145","常用漢字表","校正不要"
"飲酒","いんしゅ","6級から","","いんしゅ / おんじゅ / おんしゅ","10151","常用漢字表","校正不要"
"上品","じょうひん","6級から","","じょうひん / じょうぼん","10152","常用漢字表","校正不要"
"都度","つど","6級から","","","10198","常用漢字表","校正不要"
"副業","ふくぎょう","6級から","","","10228","常用漢字表","校正不要"
"毎度","まいど","6級から","","","10254","常用漢字表","校正不要"
"不公平","ふこうへい","6級から","","","10261","国語辞典(JMdict)｜三字熟語","校正不要"
"談話","だんわ","6級から","","","10265","常用漢字表","校正不要"
"委任","いにん","6級から","","","10278","常用漢字表","校正不要"
"大雨","おおあめ","6級から","","おおあめ / たいう","10285","常用漢字表","校正不要"
"念願","ねんがん","6級から","","","10287","常用漢字表","校正不要"
"試作","しさく","6級から","","","10295","常用漢字表","校正不要"
"化石","かせき","6級から","","","10335","常用漢字表","校正不要"
"明快","めいかい","6級から","","","10344","常用漢字表","校正不要"
"列島","れっとう","6級から","","","10345","常用漢字表","校正不要"
"行進","こうしん","6級から","","","10350","常用漢字表","校正不要"
"知覚","ちかく","6級から","","","10357","常用漢字表","校正不要"
"垂直","すいちょく","5級から","","","10369","常用漢字表","校正不要"
"悪夢","あくむ","6級から","","","10374","常用漢字表","校正不要"
"過失","かしつ","6級から","","","10386","常用漢字表","校正不要"
"不気味","ぶきみ","6級から","","","10388","国語辞典(JMdict)｜三字熟語","校正不要"
"予期","よき","6級から","","","10390","常用漢字表","校正不要"
"不利益","ふりえき","6級から","","","10395","国語辞典(JMdict)｜三字熟語","校正不要"
"要注意","ようちゅうい","6級から","","","10411","常用漢字表","校正不要"
"解禁","かいきん","6級から","","","10442","常用漢字表","校正不要"
"厳重","げんじゅう","5級から","","げんじゅう / げんじょう / げんちょう","10482","常用漢字表","校正不要"
"混同","こんどう","6級から","","","10489","常用漢字表","校正不要"
"標本","ひょうほん","6級から","","","10499","常用漢字表","校正不要"
"果実","かじつ","6級から","","","10501","常用漢字表","校正不要"
"反乱","はんらん","5級から","","","10502","常用漢字表","校正不要"
"操縦","そうじゅう","5級から","","","10512","常用漢字表","校正不要"
"年数","ねんすう","6級から","","","10520","常用漢字表","校正不要"
"功績","こうせき","6級から","","","10524","常用漢字表","校正不要"
"下車","げしゃ","6級から","","","10538","常用漢字表","校正不要"
"帰省","きせい","6級から","","","10547","常用漢字表","校正不要"
"合戦","かっせん","6級から","","","10549","常用漢字表","校正不要"
"園芸","えんげい","6級から","","","10550","常用漢字表","校正不要"
"根幹","こんかん","6級から","","","10573","常用漢字表","校正不要"
"無条件","むじょうけん","6級から","","","10587","国語辞典(JMdict)｜三字熟語","校正不要"
"残留","ざんりゅう","6級から","","","10606","常用漢字表","校正不要"
"本家","ほんけ","6級から","","","10639","常用漢字表","校正不要"
"留守","るす","6級から","","","10643","常用漢字表","校正不要"
"投下","とうか","6級から","","","10704","常用漢字表","校正不要"
"過半数","かはんすう","6級から","","","10725","国語辞典(JMdict)｜三字熟語","校正不要"
"童話","どうわ","6級から","","","10740","常用漢字表","校正不要"
"加熱","かねつ","6級から","","","10748","国語辞典(JMdict)｜対義語・熟語の構成で使う語","校正不要"
"清算","せいさん","6級から","","","10759","常用漢字表","校正不要"
"気圧","きあつ","6級から","","","10767","常用漢字表","校正不要"
"人道","じんどう","6級から","","じんどう / にんどう","10770","常用漢字表","校正不要"
"同窓会","どうそうかい","5級から","","","10774","国語辞典(JMdict)｜三字熟語","校正不要"
"独創","どくそう","5級から","","","10775","常用漢字表","校正不要"
"父母","ふぼ","6級から","","ふぼ / ちちはは / かぞいろは / ぶも","10780","常用漢字表","校正不要"
"運送","うんそう","6級から","","","10785","常用漢字表","校正不要"
"高山","こうざん","6級から","","","10786","常用漢字表","校正不要"
"日光","にっこう","6級から","","","10793","常用漢字表","校正不要"
"単身","たんしん","6級から","","","10797","常用漢字表","校正不要"
"空想","くうそう","6級から","","","10804","常用漢字表","校正不要"
"精力","せいりょく","6級から","","","10818","常用漢字表","校正不要"
"多岐","たき","6級から","","","10826","常用漢字表","校正不要"
"樹木","じゅもく","5級から","","","10843","常用漢字表","校正不要"
"市議会","しぎかい","6級から","","","10848","国語辞典(JMdict)｜三字熟語","校正不要"
"炭鉱","たんこう","6級から","","","10850","常用漢字表","校正不要"
"視力","しりょく","5級から","","","10861","常用漢字表","校正不要"
"皇太子","こうたいし","5級から","","","10917","常用漢字表","校正不要"
"誠意","せいい","5級から","","","10923","常用漢字表","校正不要"
"内臓","ないぞう","5級から","","","10952","常用漢字表","校正不要"
"海底","かいてい","6級から","","","10974","常用漢字表","校正不要"
"分別","ふんべつ","6級から","","ふんべつ / ぶんべつ","10979","常用漢字表","校正不要"
"興行","こうぎょう","6級から","","","10982","常用漢字表","校正不要"
"最期","さいご","6級から","","","10997","常用漢字表","校正不要"
"報復","ほうふく","6級から","","","11018","常用漢字表","校正不要"
"居場所","いばしょ","6級から","","","11029","国語辞典(JMdict)｜三字熟語","校正不要"
"神道","しんとう","6級から","","しんとう / しんどう","11046","常用漢字表","校正不要"
"的中","てきちゅう","6級から","","","11049","常用漢字表","校正不要"
"続出","ぞくしゅつ","6級から","","","11071","常用漢字表","校正不要"
"郷土","きょうど","5級から","","","11084","常用漢字表","校正不要"
"長編","ちょうへん","6級から","","","11095","常用漢字表","校正不要"
"休止","きゅうし","6級から","","","11104","常用漢字表","校正不要"
"故意","こい","6級から","","","11110","常用漢字表","校正不要"
"平面","へいめん","6級から","","","11119","常用漢字表","校正不要"
"地主","じぬし","6級から","","","11120","常用漢字表","校正不要"
"分岐","ぶんき","6級から","","","11123","常用漢字表","校正不要"
"高性能","こうせいのう","6級から","","","11124","国語辞典(JMdict)｜三字熟語","校正不要"
"義理","ぎり","6級から","","","11142","常用漢字表","校正不要"
"誤差","ごさ","5級から","","","11144","常用漢字表","校正不要"
"一息","ひといき","6級から","","","11147","常用漢字表","校正不要"
"非常勤","ひじょうきん","5級から","","","11149","国語辞典(JMdict)｜三字熟語","校正不要"
"傷害","しょうがい","5級から","","","11168","常用漢字表","校正不要"
"川上","かわかみ","6級から","","","11170","常用漢字表","校正不要"
"究明","きゅうめい","6級から","","","11175","常用漢字表","校正不要"
"社交","しゃこう","6級から","","","11176","常用漢字表","校正不要"
"愛着","あいちゃく","6級から","","あいちゃく / あいじゃく","11180","常用漢字表","校正不要"
"難易","なんい","5級から","","","11196","常用漢字表","校正不要"
"最前線","さいぜんせん","6級から","","","11211","国語辞典(JMdict)｜三字熟語","校正不要"
"小銭","こぜに","5級から","","","11222","常用漢字表","校正不要"
"着席","ちゃくせき","6級から","","","11233","国語辞典(JMdict)｜対義語・熟語の構成で使う語","校正不要"
"楽園","らくえん","6級から","","","11236","常用漢字表","校正不要"
"水田","すいでん","6級から","","すいでん / みずた","11237","常用漢字表","校正不要"
"夕日","ゆうひ","6級から","","ゆうひ / せきじつ","11240","常用漢字表","校正不要"
"尺度","しゃくど","5級から","","","11248","常用漢字表","校正不要"
"寸法","すんぽう","5級から","","","11249","常用漢字表","校正不要"
"接待","せったい","6級から","","","11279","常用漢字表","校正不要"
"染色","せんしょく","5級から","","","11308","常用漢字表","校正不要"
"大将","たいしょう","5級から","","たいしょう / だいしょう","11339","常用漢字表","校正不要"
"真夏","まなつ","6級から","","","11340","常用漢字表","校正不要"
"道徳的","どうとくてき","6級から","","","11341","国語辞典(JMdict)｜三字熟語","校正不要"
"望遠鏡","ぼうえんきょう","6級から","","","11343","常用漢字表","校正不要"
"静止","せいし","6級から","","","11381","常用漢字表","校正不要"
"忘年会","ぼうねんかい","5級から","","","11388","常用漢字表","校正不要"
"発作","ほっさ","6級から","","","11398","常用漢字表","校正不要"
"茶色","ちゃいろ","6級から","","","11405","常用漢字表","校正不要"
"届出","とどけで","5級から","","","11414","国語辞典(JMdict)｜要校正","★要校正"
"陛下","へいか","5級から","","","11421","常用漢字表","校正不要"
"冊子","さっし","5級から","","","11424","常用漢字表","校正不要"
"白黒","しろくろ","6級から","","","11466","常用漢字表","校正不要"
"赤外線","せきがいせん","6級から","","","11483","国語辞典(JMdict)｜三字熟語","校正不要"
"区画","くかく","6級から","","","11495","常用漢字表","校正不要"
"枚数","まいすう","5級から","","","11500","常用漢字表","校正不要"
"各省","かくしょう","6級から","","","11507","常用漢字表","校正不要"
"暗黒","あんこく","6級から","","","11508","常用漢字表","校正不要"
"遺言","ゆいごん","5級から","","ゆいごん / いごん / いげん","11519","常用漢字表","校正不要"
"面会","めんかい","6級から","","","11524","常用漢字表","校正不要"
"納入","のうにゅう","5級から","","","11529","常用漢字表","校正不要"
"県庁","けんちょう","5級から","","","11534","常用漢字表","校正不要"
"村長","そんちょう","6級から","","そんちょう / むらおさ","11553","常用漢字表","校正不要"
"断食","だんじき","6級から","","","11563","常用漢字表","校正不要"
"長文","ちょうぶん","6級から","","","11577","国語辞典(JMdict)｜対義語・熟語の構成で使う語","校正不要"
"有識者","ゆうしきしゃ","6級から","","","11594","国語辞典(JMdict)｜三字熟語","校正不要"
"宅地","たくち","5級から","","","11647","常用漢字表","校正不要"
"破損","はそん","6級から","","","11656","常用漢字表","校正不要"
"構内","こうない","6級から","","","11666","常用漢字表","校正不要"
"貯蔵","ちょぞう","5級から","","","11667","常用漢字表","校正不要"
"灰色","はいいろ","5級から","","はいいろ / かいしょく","11668","常用漢字表","校正不要"
"空軍","くうぐん","6級から","","","11704","常用漢字表","校正不要"
"仕事場","しごとば","6級から","","","11708","国語辞典(JMdict)｜三字熟語","校正不要"
"衣服","いふく","6級から","","","11753","常用漢字表","校正不要"
"一体化","いったいか","6級から","","","11759","国語辞典(JMdict)｜三字熟語","校正不要"
"注入","ちゅうにゅう","6級から","","","11777","常用漢字表","校正不要"
"万一","まんいち","6級から","","まんいち / ばんいち / まんいつ / ばんいつ","11828","常用漢字表","校正不要"
"賛美","さんび","6級から","","","11843","常用漢字表","校正不要"
"街頭","がいとう","6級から","","","11848","常用漢字表","校正不要"
"大小","だいしょう","6級から","","","11861","常用漢字表","校正不要"
"辞職","じしょく","6級から","","","11863","常用漢字表","校正不要"
"再検討","さいけんとう","5級から","","","11865","国語辞典(JMdict)｜三字熟語","校正不要"
"要点","ようてん","6級から","","","11921","常用漢字表","校正不要"
"初対面","しょたいめん","6級から","","しょたいめん / はつたいめん","11941","国語辞典(JMdict)｜三字熟語","校正不要"
"作詞","さくし","5級から","","","11952","常用漢字表","校正不要"
"代物","しろもの","6級から","","しろもの / だいぶつ","11956","常用漢字表","校正不要"
"少人数","しょうにんずう","6級から","","しょうにんずう / しょうにんず","11971","国語辞典(JMdict)｜三字熟語","校正不要"
"井戸","いど","6級から","","","11974","常用漢字表","校正不要"
"上京","じょうきょう","6級から","","","11987","常用漢字表","校正不要"
"図形","ずけい","6級から","","","11991","常用漢字表","校正不要"
"穀物","こくもつ","5級から","","","11992","常用漢字表","校正不要"
"蒸気","じょうき","5級から","","","12001","常用漢字表","校正不要"
"味覚","みかく","6級から","","","12021","常用漢字表","校正不要"
"樹立","じゅりつ","5級から","","","12032","常用漢字表","校正不要"
"米価","べいか","6級から","","","12037","常用漢字表","校正不要"
"空手","からて","6級から","","","12050","常用漢字表","校正不要"
"力量","りきりょう","6級から","","","12068","常用漢字表","校正不要"
"有志","ゆうし","6級から","","","12076","常用漢字表","校正不要"
"処女","しょじょ","5級から","","","12090","常用漢字表","校正不要"
"小児科","しょうにか","6級から","","","12099","常用漢字表","校正不要"
"派生","はせい","5級から","","","12104","常用漢字表","校正不要"
"量産","りょうさん","6級から","","","12125","常用漢字表","校正不要"
"旅人","たびびと","6級から","","たびびと / りょじん / たびと / たびにん","12137","常用漢字表","校正不要"
"保健所","ほけんじょ","6級から","","ほけんじょ / ほけんしょ","12144","国語辞典(JMdict)｜三字熟語","校正不要"
"来訪","らいほう","5級から","","","12170","常用漢字表","校正不要"
"空腹","くうふく","5級から","","","12174","常用漢字表","校正不要"
"縄文","じょうもん","6級から","","","12191","常用漢字表","校正不要"
"頭部","とうぶ","6級から","","","12211","常用漢字表","校正不要"
"不必要","ふひつよう","6級から","","","12212","国語辞典(JMdict)｜三字熟語","校正不要"
"時速","じそく","6級から","","","12234","常用漢字表","校正不要"
"代謝","たいしゃ","6級から","","","12256","常用漢字表","校正不要"
"保留","ほりゅう","6級から","","","12264","常用漢字表","校正不要"
"長老","ちょうろう","6級から","","","12267","常用漢字表","校正不要"
"書簡","しょかん","5級から","","","12268","常用漢字表","校正不要"
"未成年","みせいねん","6級から","","","12280","国語辞典(JMdict)｜三字熟語","校正不要"
"苦戦","くせん","6級から","","","12289","常用漢字表","校正不要"
"君主","くんしゅ","6級から","","","12294","常用漢字表","校正不要"
"能率","のうりつ","6級から","","","12300","常用漢字表","校正不要"
"星座","せいざ","5級から","","","12305","常用漢字表","校正不要"
"原型","げんけい","6級から","","","12325","常用漢字表","校正不要"
"電話機","でんわき","6級から","","","12372","国語辞典(JMdict)｜三字熟語","校正不要"
"小麦","こむぎ","6級から","","","12376","常用漢字表","校正不要"
"元来","がんらい","6級から","","","12408","常用漢字表","校正不要"
"照会","しょうかい","6級から","","","12430","常用漢字表","校正不要"
"磁気","じき","5級から","","","12431","常用漢字表","校正不要"
"愛読","あいどく","6級から","","","12438","常用漢字表","校正不要"
"停車","ていしゃ","6級から","","","12481","常用漢字表","校正不要"
"原材料","げんざいりょう","6級から","","","12483","国語辞典(JMdict)｜三字熟語","校正不要"
"風情","ふぜい","6級から","","ふぜい / ふうじょう","12484","常用漢字表","校正不要"
"格別","かくべつ","6級から","","","12493","国語辞典(JMdict)｜対義語・熟語の構成で使う語","校正不要"
"潮流","ちょうりゅう","5級から","","","12506","常用漢字表","校正不要"
"段落","だんらく","5級から","","","12528","常用漢字表","校正不要"
"不可解","ふかかい","6級から","","","12537","国語辞典(JMdict)｜三字熟語","校正不要"
"非常識","ひじょうしき","6級から","","","12538","国語辞典(JMdict)｜三字熟語","校正不要"
"筆記","ひっき","6級から","","","12541","常用漢字表","校正不要"
"快晴","かいせい","6級から","","","12548","常用漢字表","校正不要"
"続行","ぞっこう","6級から","","","12552","常用漢字表","校正不要"
"精進","しょうじん","6級から","","","12583","常用漢字表","校正不要"
"結束","けっそく","6級から","","","12587","常用漢字表","校正不要"
"指先","ゆびさき","6級から","","","12593","常用漢字表","校正不要"
"信徒","しんと","6級から","","","12596","常用漢字表","校正不要"
"定休","ていきゅう","6級から","","","12597","常用漢字表","校正不要"
"草案","そうあん","6級から","","","12616","常用漢字表","校正不要"
"均一","きんいつ","6級から","","きんいつ / きんいち","12628","常用漢字表","校正不要"
"極限","きょくげん","6級から","","","12645","常用漢字表","校正不要"
"幕末","ばくまつ","5級から","","","12649","常用漢字表","校正不要"
"風車","ふうしゃ","6級から","","ふうしゃ / かざぐるま","12662","常用漢字表","校正不要"
"洋楽","ようがく","6級から","","","12677","常用漢字表","校正不要"
"紅白","こうはく","5級から","","","12709","常用漢字表","校正不要"
"独断","どくだん","6級から","","","12728","常用漢字表","校正不要"
"伝授","でんじゅ","6級から","","","12749","常用漢字表","校正不要"
"事由","じゆう","6級から","","","12759","常用漢字表","校正不要"
"乗用車","じょうようしゃ","6級から","","","12762","国語辞典(JMdict)｜三字熟語","校正不要"
"養子","ようし","6級から","","","12770","常用漢字表","校正不要"
"志願","しがん","6級から","","","12783","常用漢字表","校正不要"
"原動力","げんどうりょく","6級から","","","12785","国語辞典(JMdict)｜三字熟語","校正不要"
"花束","はなたば","6級から","","","12803","常用漢字表","校正不要"
"愛犬","あいけん","6級から","","","12808","常用漢字表","校正不要"
"上着","うわぎ","6級から","","","12844","常用漢字表","校正不要"
"白紙","はくし","6級から","","はくし / しらかみ","12971","国語辞典(JMdict)｜対義語・熟語の構成で使う語","校正不要"
"座談","ざだん","5級から","","","13011","常用漢字表","校正不要"
"飼料","しりょう","6級から","","","13016","常用漢字表","校正不要"
"顔面","がんめん","6級から","","","13048","常用漢字表","校正不要"
"宗派","しゅうは","5級から","","","13051","常用漢字表","校正不要"
"熟練","じゅくれん","5級から","","","13055","常用漢字表","校正不要"
"伝記","でんき","6級から","","","13059","常用漢字表","校正不要"
"電灯","でんとう","6級から","","","13061","常用漢字表","校正不要"
"香水","こうすい","6級から","","こうすい / こうずい","13125","常用漢字表","校正不要"
"測量","そくりょう","6級から","","","13147","常用漢字表","校正不要"
"不都合","ふつごう","6級から","","","13151","国語辞典(JMdict)｜三字熟語","校正不要"
"境内","けいだい","6級から","","","13232","常用漢字表","校正不要"
"聖人","せいじん","5級から","","せいじん / しょうにん","13239","常用漢字表","校正不要"
"馬車","ばしゃ","6級から","","ばしゃ / うまぐるま","13249","常用漢字表","校正不要"
"植木","うえき","6級から","","","13257","常用漢字表","校正不要"
"不平等","ふびょうどう","6級から","","","13273","国語辞典(JMdict)｜三字熟語","校正不要"
"下流","かりゅう","6級から","","","13281","常用漢字表","校正不要"
"雑音","ざつおん","6級から","","","13317","常用漢字表","校正不要"
"憲章","けんしょう","5級から","","","13351","常用漢字表","校正不要"
"漁師","りょうし","6級から","","","13363","常用漢字表","校正不要"
"細工","さいく","6級から","","","13402","常用漢字表","校正不要"
"技師","ぎし","6級から","","","13409","常用漢字表","校正不要"
"鉱物","こうぶつ","6級から","","","13421","常用漢字表","校正不要"
"運河","うんが","6級から","","","13435","常用漢字表","校正不要"
"疑念","ぎねん","5級から","","","13442","常用漢字表","校正不要"
"兆候","ちょうこう","6級から","","","13443","常用漢字表","校正不要"
"各位","かくい","6級から","","","13457","常用漢字表","校正不要"
"北方","ほっぽう","6級から","","","13458","常用漢字表","校正不要"
"並列","へいれつ","5級から","","","13523","常用漢字表","校正不要"
"従属","じゅうぞく","5級から","","","13530","常用漢字表","校正不要"
"器用","きよう","6級から","","","13537","常用漢字表","校正不要"
"倍率","ばいりつ","6級から","","","13540","常用漢字表","校正不要"
